Fecha,BIL_carry,BIL_price,BIL_dy,BIL_total,SPTS_carry,SPTS_price,SPTS_dy,SPTS_total,IEI_carry,IEI_price,IEI_dy,IEI_total,IEF_carry,IEF_price,IEF_dy,IEF_total,SPTL_carry,SPTL_price,SPTL_dy,SPTL_total,IGOV_carry,IGOV_price,IGOV_dy,IGOV_total,AGG_carry,AGG_price,AGG_dy,AGG_total,LQD_carry,LQD_price,LQD_dy,LQD_total,GHYG_carry,GHYG_price,GHYG_dy,GHYG_total,EMB_carry,EMB_price,EMB_dy,EMB_total,CEMB_carry,CEMB_price,CEMB_dy,CEMB_total
2006-02,,,,,0.00364167,-0.00680363,0.00137000,-0.00316196,,,,,0.00377250,-0.00797363,0.00020000,-0.00420113,,,,,0.00377250,-0.00786538,0.00020000,-0.00409288,0.00377250,-0.00586199,0.00020000,-0.00208949,0.00377250,-0.00078808,0.00020000,0.00298442,,,,,,,,,,,,
2006-03,,,,,0.00375583,-0.00225186,0.00008000,0.00150397,,,,,0.00378917,-0.01741670,0.00306000,-0.01362753,,,,,0.00378917,-0.01463594,0.00306000,-0.01084677,0.00378917,-0.01249023,0.00306000,-0.00870106,0.00378917,-0.02086901,0.00306000,-0.01707984,,,,,,,,,,,,
2006-04,,,,,0.00376250,-0.00107330,0.00135000,0.00268920,,,,,0.00404417,-0.01028452,0.00216000,-0.00624035,,,,,0.00404417,-0.00959812,0.00216000,-0.00555395,0.00404417,-0.00568217,0.00216000,-0.00163800,0.00404417,-0.00616282,0.00216000,-0.00211865,,,,,,,,,,,,
2006-05,,,,,0.00387500,-0.00194391,0.00065000,0.00193109,,,,,0.00422417,-0.00574428,0.00044000,-0.00152011,,,,,0.00422417,-0.00639613,0.00044000,-0.00217196,0.00422417,-0.00614988,0.00044000,-0.00192571,0.00422417,-0.00637916,0.00044000,-0.00215499,,,,,,,,,,,,
2006-06,,,,,0.00392917,-0.00131804,0.00145000,0.00261113,,,,,0.00426083,-0.00198177,0.00025000,0.00227906,,,,,0.00426083,-0.00371073,0.00025000,0.00055010,0.00426083,-0.00597315,0.00025000,-0.00171232,0.00426083,-0.00484997,0.00025000,-0.00058914,,,,,,,,,,,,
2006-07,,,,,0.00405000,0.00340097,0.00075000,0.00745097,,,,,0.00428167,0.01225746,-0.00150000,0.01653913,,,,,0.00428167,0.00648560,-0.00150000,0.01076727,0.00428167,0.00953328,-0.00150000,0.01381495,0.00428167,0.01007004,-0.00150000,0.01435171,,,,,,,,,,,,
2006-08,,,,,0.00411250,0.00433888,-0.00030000,0.00845138,,,,,0.00415667,0.01344089,-0.00256000,0.01759756,,,,,0.00415667,0.00736895,-0.00256000,0.01152562,0.00415667,0.01157421,-0.00256000,0.01573088,0.00415667,0.01811465,-0.00256000,0.02227132,,,,,,,,,,,,
2006-09,,,,,0.00408750,0.00091103,-0.00145000,0.00499853,,,,,0.00394333,0.00827266,-0.00099000,0.01221599,,,,,0.00394333,0.00372646,-0.00099000,0.00766979,0.00394333,0.00638434,-0.00099000,0.01032767,0.00394333,0.00468791,-0.00099000,0.00863124,,,,,,,,,,,,
2006-10,,,,,0.00396667,0.00075731,0.00180000,0.00472398,,,,,0.00386083,0.00150617,-0.00027000,0.00536700,,,,,0.00386083,-0.00109826,-0.00027000,0.00276257,0.00386083,0.00280824,-0.00027000,0.00666907,0.00386083,0.00616141,-0.00027000,0.01002224,,,,,,,,,,,,
2006-11,,,,,0.00411667,0.00136128,-0.00050000,0.00547795,,,,,0.00383833,0.00937971,-0.00148000,0.01321804,,,,,0.00383833,0.00454942,-0.00148000,0.00838775,0.00383833,0.00671216,-0.00148000,0.01055049,0.00383833,0.01091420,-0.00148000,0.01475253,,,,,,,,,,,,
2006-12,,,,,0.00407500,-0.00671004,-0.00005000,-0.00263504,,,,,0.00371500,-0.01922971,0.00252000,-0.01551471,,,,,0.00371500,-0.01591392,0.00252000,-0.01219892,0.00371500,-0.01310776,0.00252000,-0.00939276,0.00371500,-0.01641432,0.00252000,-0.01269932,,,,,,,,,,,,
2007-01,,,,,0.00407083,0.00542533,0.00090000,0.00949616,,,,,0.00392500,-0.00142919,0.00116000,0.00249581,,,,,0.00392500,-0.00321960,0.00116000,0.00070540,0.00392500,0.00302150,0.00116000,0.00694650,0.00392500,0.00515156,0.00116000,0.00907656,,,,,,,,,,,,
2007-02,,,,,0.00414583,-0.00016069,0.00020000,0.00398514,,,,,0.00402167,0.01266263,-0.00276000,0.01668430,,,,,0.00402167,0.00684960,-0.00276000,0.01087127,0.00402167,0.00822271,-0.00276000,0.01224438,0.00402167,0.01161792,-0.00276000,0.01563959,,,,,,,,,,,,
2007-03,,,,,0.00416250,0.00141473,-0.00100000,0.00557723,0.00375250,-0.00147111,0.00034000,0.00228139,0.00379167,-0.00467927,0.00098000,-0.00088760,,,,,0.00379167,-0.00551044,0.00098000,-0.00171877,0.00379167,-0.00570394,0.00098000,-0.00191227,0.00379167,-0.01042008,0.00098000,-0.00662841,,,,,,,,,,,,
2007-04,,,,,0.00407917,-0.00093689,-0.00170000,0.00314228,0.00378083,0.00038278,-0.00021000,0.00416361,0.00387333,0.00160614,-0.00018000,0.00547947,,,,,0.00387333,-0.00103018,-0.00018000,0.00284315,0.00387333,0.00205127,-0.00018000,0.00592460,0.00387333,0.00460801,-0.00018000,0.00848134,,,,,,,,,,,,
