Fecha,IRX,FVX,TNX,TYX
2005-12,0.039850,0.043550,0.043950,0.045470
2006-01,0.043700,0.044630,0.045270,0.046850
2006-02,0.045070,0.046010,0.045470,0.045030
2006-03,0.045150,0.048140,0.048530,0.048930
2006-04,0.046500,0.049200,0.050690,0.051690
2006-05,0.047150,0.050300,0.051130,0.052070
2006-06,0.048600,0.050980,0.051380,0.051860
2006-07,0.049350,0.049050,0.049880,0.050700
2006-08,0.049050,0.046920,0.047320,0.048780
2006-09,0.047600,0.045870,0.046330,0.047670
2006-10,0.049400,0.045680,0.046060,0.047190
2006-11,0.048900,0.044420,0.044580,0.045610
2006-12,0.048850,0.047010,0.047100,0.048180
2007-01,0.049750,0.048190,0.048260,0.049260
2007-02,0.049950,0.045030,0.045500,0.046690
2007-03,0.048950,0.045370,0.046480,0.048480
2007-04,0.047250,0.045160,0.046300,0.048170
2007-05,0.045900,0.048530,0.048900,0.050110
2007-06,0.046700,0.049360,0.050330,0.051260
2007-07,0.048100,0.046020,0.047710,0.049220
2007-08,0.039900,0.042510,0.045370,0.048310
2007-09,0.037000,0.042290,0.045790,0.048330
2007-10,0.038200,0.041670,0.044750,0.047510
2007-11,0.030700,0.034180,0.039720,0.044030
2007-12,0.031400,0.034550,0.040350,0.044590
2008-01,0.018700,0.028260,0.036390,0.043540
2008-02,0.017850,0.025090,0.035340,0.044210
2008-03,0.012750,0.024670,0.034320,0.043060
2008-04,0.013400,0.030330,0.037590,0.044970
2008-05,0.018500,0.034070,0.040460,0.047070
2008-06,0.017050,0.033410,0.039790,0.045310
2008-07,0.016350,0.032660,0.039790,0.046030
2008-08,0.016900,0.030890,0.038130,0.044120
2008-09,0.009000,0.029860,0.038270,0.043050
2008-10,0.004350,0.028210,0.039700,0.043690
2008-11,0.000200,0.019440,0.029570,0.034870
2008-12,0.001150,0.015510,0.022440,0.026910
2009-01,0.002200,0.018730,0.028440,0.036030
2009-02,0.002500,0.020200,0.030410,0.037220
2009-03,0.002000,0.016750,0.026850,0.035610
2009-04,0.001250,0.020170,0.031240,0.040440
2009-05,0.001300,0.023470,0.034650,0.043380
2009-06,0.001800,0.025580,0.035230,0.043110
2009-07,0.001750,0.025330,0.035010,0.043110
2009-08,0.001300,0.023900,0.034010,0.041810
2009-09,0.001150,0.023180,0.033070,0.040480
2009-10,0.000450,0.023220,0.033920,0.042360
2009-11,0.000500,0.020060,0.032010,0.041940
2009-12,0.000500,0.026860,0.038430,0.046410
2010-01,0.000700,0.023480,0.036090,0.045100
2010-02,0.001150,0.022840,0.035950,0.045290
2010-03,0.001500,0.025600,0.038330,0.047150
2010-04,0.001550,0.024200,0.036630,0.045270
2010-05,0.001500,0.020970,0.033010,0.042140
2010-06,0.001700,0.017950,0.029510,0.039090
2010-07,0.001400,0.015980,0.029070,0.039770
2010-08,0.001350,0.013420,0.024770,0.035330
2010-09,0.001550,0.012810,0.025170,0.036870
2010-10,0.001100,0.011790,0.026120,0.040000
2010-11,0.001600,0.014640,0.027970,0.041020
2010-12,0.001150,0.020160,0.033050,0.043620
2011-01,0.001450,0.019520,0.033780,0.045710
2011-02,0.001350,0.021370,0.034140,0.044900
2011-03,0.000900,0.022250,0.034540,0.045080
2011-04,0.000400,0.019750,0.032960,0.044060
2011-05,0.000400,0.016880,0.030500,0.042160
2011-06,0.000150,0.017540,0.031580,0.043820
2011-07,0.000900,0.013730,0.028050,0.041320
2011-08,0.000150,0.009520,0.022180,0.035920
2011-09,0.000100,0.009650,0.019240,0.029210
2011-10,0.000050,0.010110,0.021750,0.031990
2011-11,0.000150,0.009520,0.020680,0.030620
2011-12,0.000050,0.008300,0.018710,0.028890
2012-01,0.000550,0.007110,0.017990,0.029340
2012-02,0.000750,0.008750,0.019770,0.030860
2012-03,0.000650,0.010430,0.022160,0.033450
2012-04,0.000900,0.008110,0.019150,0.031090
2012-05,0.000600,0.006710,0.015810,0.026720
2012-06,0.000800,0.007290,0.016590,0.027630
2012-07,0.001000,0.005990,0.014920,0.025770
2012-08,0.000850,0.005960,0.015620,0.026840
2012-09,0.000900,0.006300,0.016370,0.028340
2012-10,0.001050,0.007150,0.016860,0.028510
2012-11,0.000750,0.006140,0.016060,0.027940
2012-12,0.000350,0.007250,0.017560,0.029520
2013-01,0.000650,0.008810,0.019850,0.031700
2013-02,0.001000,0.007690,0.018880,0.030940
2013-03,0.000650,0.007690,0.018520,0.031040
2013-04,0.000450,0.006780,0.016750,0.028840
2013-05,0.000300,0.010530,0.021640,0.033080
2013-06,0.000300,0.013850,0.024780,0.034980
2013-07,0.000300,0.013910,0.025930,0.036460
2013-08,0.000200,0.016010,0.027490,0.036760
2013-09,0.000050,0.013880,0.026150,0.036860
2013-10,0.000330,0.013150,0.025420,0.036310
2013-11,0.000550,0.013670,0.027410,0.038080
2013-12,0.000630,0.017480,0.030260,0.039640
2014-01,0.000100,0.015100,0.026680,0.036220
2014-02,0.000430,0.015110,0.026580,0.035920
2014-03,0.000280,0.017320,0.027230,0.035610
2014-04,0.000200,0.016810,0.026480,0.034580
2014-05,0.000300,0.015280,0.024570,0.033140
2014-06,0.000200,0.016250,0.025160,0.033380
2014-07,0.000180,0.017630,0.025560,0.033110
2014-08,0.000180,0.016280,0.023430,0.030800
2014-09,0.000130,0.017800,0.025080,0.032120
2014-10,0.000030,0.016130,0.023350,0.030600
2014-11,0.000050,0.015110,0.021940,0.029100
2014-12,0.000370,0.016530,0.021700,0.027490
2015-01,0.000050,0.011870,0.016750,0.022510
2015-02,0.000080,0.015050,0.020020,0.026000
2015-03,0.000250,0.013750,0.019340,0.025440
2015-04,0.000050,0.014420,0.020460,0.027530
2015-05,0.000030,0.014670,0.020950,0.028470
2015-06,0.000100,0.016280,0.023350,0.031040
2015-07,0.000580,0.015480,0.022050,0.029270
2015-08,0.000030,0.015410,0.022000,0.029310
2015-09,0.000050,0.013750,0.020600,0.028800
